segment_id,s_start_m,s_end_m,segment_length_m,radius_mean_m,diameter_mean_m,diameter_prox_m,diameter_dist_m,cross_section_area_m2,curvature_mean_per_m,resistance_segment
105,0.0305115263909101,0.0308047588914632,0.00029323186,0.0010079075676982,0.0020158151353964,0.001969588873007076,0.002047407094809156,3.19147380938323e-06,113.76861000000474,2532424.5389511646
106,0.0308047588914632,0.031106786802411,0.0003020272,0.0010399733222184,0.0020799466444368,0.002047407094809156,0.002039414177686155,3.397772290055545e-06,193.78256,2301258.6476406204
107,0.031106786802411,0.0314268507063388,0.00032006548,0.0009982306307513,0.0019964612615026,0.002039414177686155,0.0019401269904371085,3.130485214006124e-06,213.31699,2872919.2798210736
108,0.0314268507063388,0.0317607596516609,0.00033390804,0.0009406779306389,0.0018813558612778,0.0019401269904371085,0.0017497196714125211,2.779916702556569e-06,170.07266000000735,3800766.854666504
109,0.0317607596516609,0.0320933945477008,0.00033263362,0.0008092928735982,0.0016185857471964,0.0017497196714125211,0.001541790209812322,2.0576016758674217e-06,190.87737999999652,6911167.831304014
110,0.0320933945477008,0.0324144773185253,0.00032108426,0.0007338308578536,0.0014676617157072,0.001541790209812322,0.0014451063368546317,1.69177192199193e-06,257.76269999999005,9868322.044579385
111,0.0324144773185253,0.0327179878950119,0.000303512,0.000711892683561,0.001423785367122,0.0014451063368546317,0.0014534258742659818,1.592131488543125e-06,281.49426,10532365.989204526
112,0.0327179878950119,0.0330064408481121,0.00028845112,0.0007407979352837,0.0014815958705674,0.0014534258742659818,0.001540390417337709,1.7240481830457325e-06,226.9146399999973,8536529.210126609
113,0.0330064408481121,0.0332897305488586,0.00028329142,0.0007990662765173,0.0015981325530346,0.001540390417337709,0.0016662620117388908,2.005928631128496e-06,115.24572999998783,6193132.567601381
114,0.0332897305488586,0.0335719026625156,0.00028217037,0.0008670613487556,0.0017341226975112,0.0016662620117388908,0.0017816597509388436,2.361834850683634e-06,44.45579,4449592.755072611
115,0.0335719026625156,0.033854279667139,0.00028237727,0.0009146156609986,0.0018292313219972,0.0017816597509388436,0.0018456219089718786,2.628010764519376e-06,62.701912,3596527.464744024
116,0.033854279667139,0.0341420508921146,0.0002877704,0.0009311628018647,0.0018623256037294,0.0018456219089718786,0.0019276930431830987,2.723962406483492e-06,90.24572,3411550.8058354813
117,0.0341420508921146,0.0344352833926677,0.0002932333,0.000997150507644,0.001994301015288,0.0019276930431830987,0.0020751034063190604,3.1237142735827407e-06,117.59012999999543,2643495.620767802
118,0.0344352833926677,0.0347269959747791,0.0002917144,0.0010777434862736,0.0021554869725472,0.0020751034063190604,0.0022110274169417766,3.6490573262768463e-06,209.05264,1927100.551758671
